[DEBUG] 2020-02-17 13:11:31.364 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-17 13:11:31.366 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-17 13:11:31.370 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-17 13:11:31.451 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-17 13:11:31.454 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-17 13:11:31.652 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-17 13:11:31.931 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-17 13:11:31.955 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-17 13:11:31.958 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-17 13:11:31.978 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-17 13:11:32.008 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@336880df
[DEBUG] 2020-02-17 13:11:32.008 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@336880df
[DEBUG] 2020-02-17 13:11:32.008 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@336880df
[DEBUG] 2020-02-17 13:11:32.009 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@75fc1992
[DEBUG] 2020-02-17 13:11:32.009 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7be7e15
[DEBUG] 2020-02-17 13:11:32.010 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@4248b963
[DEBUG] 2020-02-17 13:11:32.011 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@72725ee1
[DEBUG] 2020-02-17 13:11:32.011 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@72725ee1
[DEBUG] 2020-02-17 13:11:32.014 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@72725ee1
[DEBUG] 2020-02-17 13:11:32.015 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@249e0271
[DEBUG] 2020-02-17 13:11:32.015 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@249e0271
[DEBUG] 2020-02-17 13:11:32.015 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@249e0271
[DEBUG] 2020-02-17 13:11:32.017 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3bfc6a5e
[DEBUG] 2020-02-17 13:11:32.017 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3bfc6a5e
[DEBUG] 2020-02-17 13:11:32.017 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3bfc6a5e
[DEBUG] 2020-02-17 13:11:32.019 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@3964d79
[DEBUG] 2020-02-17 13:11:32.019 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@3964d79
[DEBUG] 2020-02-17 13:11:32.019 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@3964d79
[DEBUG] 2020-02-17 13:11:32.020 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4acb2510
[DEBUG] 2020-02-17 13:11:32.021 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4acb2510
[DEBUG] 2020-02-17 13:11:32.021 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@4acb2510
[DEBUG] 2020-02-17 13:11:32.022 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7a904f32
[DEBUG] 2020-02-17 13:11:32.022 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7a904f32
[DEBUG] 2020-02-17 13:11:32.023 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@7a904f32
[DEBUG] 2020-02-17 13:11:32.024 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4339e0de
[DEBUG] 2020-02-17 13:11:32.025 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4339e0de
[DEBUG] 2020-02-17 13:11:32.025 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@4339e0de
[DEBUG] 2020-02-17 13:11:32.026 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@27b2faa6
[DEBUG] 2020-02-17 13:11:32.026 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@27b2faa6
[DEBUG] 2020-02-17 13:11:32.027 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@75a118e6
