[DEBUG] 2020-02-17 11:08:00.323 [http-nio-8080-exec-5] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-17 11:08:00.326 [http-nio-8080-exec-5] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-17 11:08:00.332 [http-nio-8080-exec-5] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-17 11:08:00.432 [http-nio-8080-exec-5] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-17 11:08:00.434 [http-nio-8080-exec-5] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-17 11:08:00.635 [http-nio-8080-exec-5] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-17 11:08:01.033 [http-nio-8080-exec-5] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-17 11:08:01.059 [http-nio-8080-exec-5] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-17 11:08:01.061 [http-nio-8080-exec-5] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-17 11:08:01.087 [http-nio-8080-exec-5] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-17 11:08:01.137 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@195eee12
[DEBUG] 2020-02-17 11:08:01.137 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@195eee12
[DEBUG] 2020-02-17 11:08:01.137 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@195eee12
[DEBUG] 2020-02-17 11:08:01.139 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4ff352cc
[DEBUG] 2020-02-17 11:08:01.139 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7987ac3b
[DEBUG] 2020-02-17 11:08:01.140 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@5bdd602
[DEBUG] 2020-02-17 11:08:01.141 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6b260d8e
[DEBUG] 2020-02-17 11:08:01.141 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6b260d8e
[DEBUG] 2020-02-17 11:08:01.141 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6b260d8e
[DEBUG] 2020-02-17 11:08:01.142 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@5caa84e1
[DEBUG] 2020-02-17 11:08:01.142 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@5caa84e1
[DEBUG] 2020-02-17 11:08:01.143 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@5caa84e1
[DEBUG] 2020-02-17 11:08:01.144 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2c2fc2b0
[DEBUG] 2020-02-17 11:08:01.144 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2c2fc2b0
[DEBUG] 2020-02-17 11:08:01.145 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@2c2fc2b0
[DEBUG] 2020-02-17 11:08:01.146 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@5f279cfa
[DEBUG] 2020-02-17 11:08:01.146 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@5f279cfa
[DEBUG] 2020-02-17 11:08:01.146 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@5f279cfa
[DEBUG] 2020-02-17 11:08:01.147 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@681d69a9
[DEBUG] 2020-02-17 11:08:01.147 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@681d69a9
[DEBUG] 2020-02-17 11:08:01.147 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@681d69a9
[DEBUG] 2020-02-17 11:08:01.148 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@39572d11
[DEBUG] 2020-02-17 11:08:01.149 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@39572d11
[DEBUG] 2020-02-17 11:08:01.149 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@39572d11
[DEBUG] 2020-02-17 11:08:01.150 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@45f85adb
[DEBUG] 2020-02-17 11:08:01.150 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@45f85adb
[DEBUG] 2020-02-17 11:08:01.150 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@45f85adb
[DEBUG] 2020-02-17 11:08:01.152 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@5dc3bfe8
[DEBUG] 2020-02-17 11:08:01.152 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@5dc3bfe8
[DEBUG] 2020-02-17 11:08:01.153 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@1451fc01
[DEBUG] 2020-02-17 11:08:01.153 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@1451fc01
[DEBUG] 2020-02-17 11:08:01.154 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@4900fbd8
[DEBUG] 2020-02-17 11:08:01.154 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@4900fbd8
[DEBUG] 2020-02-17 11:08:01.154 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@3333884a
[DEBUG] 2020-02-17 11:08:01.155 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@152fb8c8
[DEBUG] 2020-02-17 11:08:01.157 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@7f79f58f
[DEBUG] 2020-02-17 11:08:01.157 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@7f79f58f
[DEBUG] 2020-02-17 11:08:01.159 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@361eb5fa
[DEBUG] 2020-02-17 11:08:01.159 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@361eb5fa
[DEBUG] 2020-02-17 11:08:01.167 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@70a5850
[DEBUG] 2020-02-17 11:08:01.168 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@70a5850
[DEBUG] 2020-02-17 11:08:01.169 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@4fd78beb
[DEBUG] 2020-02-17 11:08:01.169 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@4fd78beb
[DEBUG] 2020-02-17 11:08:01.170 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@578d1194
[DEBUG] 2020-02-17 11:08:01.170 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@578d1194
[DEBUG] 2020-02-17 11:08:01.171 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@24a1ada9
[DEBUG] 2020-02-17 11:08:01.172 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@24a1ada9
[DEBUG] 2020-02-17 11:08:01.175 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@512e6bf7
[DEBUG] 2020-02-17 11:08:01.175 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@512e6bf7
[DEBUG] 2020-02-17 11:08:01.177 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@5cac24ae
[DEBUG] 2020-02-17 11:08:01.177 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@5cac24ae
[DEBUG] 2020-02-17 11:08:01.179 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@7b8cc7c
[DEBUG] 2020-02-17 11:08:01.179 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@7b8cc7c
[DEBUG] 2020-02-17 11:08:01.181 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@1d2f5c42
[DEBUG] 2020-02-17 11:08:01.181 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@1d2f5c42
[DEBUG] 2020-02-17 11:08:01.183 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@8d9cbba
[DEBUG] 2020-02-17 11:08:01.183 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@8d9cbba
[DEBUG] 2020-02-17 11:08:01.184 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@6445b136
[DEBUG] 2020-02-17 11:08:01.184 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@6445b136
[DEBUG] 2020-02-17 11:08:01.184 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@6445b136
[DEBUG] 2020-02-17 11:08:01.187 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@4afb99cf
[DEBUG] 2020-02-17 11:08:01.188 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@3846364a
[DEBUG] 2020-02-17 11:08:01.188 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@3846364a
[DEBUG] 2020-02-17 11:08:01.188 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@3846364a
[DEBUG] 2020-02-17 11:08:01.189 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@6788e689
[DEBUG] 2020-02-17 11:08:01.190 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@787337e5
[DEBUG] 2020-02-17 11:08:01.190 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@787337e5
[DEBUG] 2020-02-17 11:08:01.192 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@29781885
[DEBUG] 2020-02-17 11:08:01.192 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@29781885
[DEBUG] 2020-02-17 11:08:01.193 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@7af1ef46
[DEBUG] 2020-02-17 11:08:01.193 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@7af1ef46
[DEBUG] 2020-02-17 11:08:01.194 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@2c0b3433
[DEBUG] 2020-02-17 11:08:01.194 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@2c0b3433
[DEBUG] 2020-02-17 11:08:01.195 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@64460dd3
[DEBUG] 2020-02-17 11:08:01.196 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@64460dd3
[DEBUG] 2020-02-17 11:08:01.196 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@2fdf9661
[DEBUG] 2020-02-17 11:08:01.198 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@8c66d5e
[DEBUG] 2020-02-17 11:08:01.198 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@8c66d5e
[DEBUG] 2020-02-17 11:08:01.198 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@8c66d5e
[DEBUG] 2020-02-17 11:08:01.199 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@3c1ec670
[DEBUG] 2020-02-17 11:08:01.200 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@3c1ec670
[DEBUG] 2020-02-17 11:08:01.200 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@3c1ec670
[DEBUG] 2020-02-17 11:08:01.201 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@57b38d97
[DEBUG] 2020-02-17 11:08:01.201 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@7eccd668
[DEBUG] 2020-02-17 11:08:01.202 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@60c1760
[DEBUG] 2020-02-17 11:08:01.203 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@60c1760
[DEBUG] 2020-02-17 11:08:01.203 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@60c1760
[DEBUG] 2020-02-17 11:08:01.204 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@1905c042
[DEBUG] 2020-02-17 11:08:01.204 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@1905c042
[DEBUG] 2020-02-17 11:08:01.204 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@1905c042
[DEBUG] 2020-02-17 11:08:01.205 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@2add112e
[DEBUG] 2020-02-17 11:08:01.205 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@64a21839
[DEBUG] 2020-02-17 11:08:01.207 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@4aaf877d
[DEBUG] 2020-02-17 11:08:01.208 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@4aaf877d
[DEBUG] 2020-02-17 11:08:01.209 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@330a3266
[DEBUG] 2020-02-17 11:08:01.211 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@3e6fadd7
[DEBUG] 2020-02-17 11:08:01.211 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@3e6fadd7
[DEBUG] 2020-02-17 11:08:01.212 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@17b80a36
[DEBUG] 2020-02-17 11:08:01.212 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@17b80a36
[DEBUG] 2020-02-17 11:08:01.213 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@7c51a1bf
[DEBUG] 2020-02-17 11:08:01.213 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@1d5ad434
[DEBUG] 2020-02-17 11:08:01.215 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@8b3b585
[DEBUG] 2020-02-17 11:08:01.218 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@42ee48b2
[DEBUG] 2020-02-17 11:08:01.219 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@42ee48b2
[DEBUG] 2020-02-17 11:08:01.220 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@42057a4a
[DEBUG] 2020-02-17 11:08:01.220 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@457f88a5
[DEBUG] 2020-02-17 11:08:01.220 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@10333f10
[DEBUG] 2020-02-17 11:08:01.220 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@121417fa
[DEBUG] 2020-02-17 11:08:01.220 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@7baae8d8
[DEBUG] 2020-02-17 11:08:01.220 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@42297da8
[DEBUG] 2020-02-17 11:08:01.224 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@4beb1142
[DEBUG] 2020-02-17 11:08:01.224 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@79f26402
